,word,read,hinshi,score
0,優れる,すぐれる,動詞,1
1,良い,よい,形容詞,1
2,喜ぶ,よろこぶ,動詞,1
3,褒める,ほめる,動詞,1
4,めでたい,めでたい,形容詞,1
5,賢い,かしこい,形容詞,1
6,善い,いい,形容詞,1
7,適す,てきす,動詞,1
8,天晴,あっぱれ,名詞,1
9,祝う,いわう,動詞,1
10,功績,こうせき,名詞,1
11,賞,しょう,名詞,1
12,嬉しい,うれしい,形容詞,1
13,喜び,よろこび,名詞,1
14,才知,さいち,名詞,1
15,徳,とく,名詞,1
16,才能,さいのう,名詞,1
17,素晴らしい,すばらしい,形容詞,1
18,芳しい,かんばしい,形容詞,1
19,称える,たたえる,動詞,1
20,適切,てきせつ,名詞,1
21,崇める,あがめる,動詞,1
22,助ける,たすける,動詞,1
23,抜きんでる,ぬきんでる,動詞,1
24,清水,せいすい,名詞,1
25,雄雄しい,おおしい,形容詞,1
26,仕合せ,しあわせ,名詞,1
27,幸い,さいわい,名詞,1
28,吉兆,きっちょう,名詞,1
29,秀でる,ひいでる,動詞,1
30,宜しい,よろしい,形容詞,1
31,きりりしゃんと,きりりしゃんと,副詞,1
32,矜持,きんじ,名詞,1
33,香しい,かぐわしい,形容詞,1
34,しこなす,しこなす,動詞,1
35,遣りこなす,やりこなす,動詞,1
36,優麗,ゆうれい,名詞,1
37,気高い,けだかい,形容詞,1
38,手柄,てがら,名詞,1
39,正義,せいぎ,名詞,1
40,麗しい,うるわしい,形容詞,1
41,名高い,なだかい,形容詞,1
42,感心,かんしん,名詞,1
43,誉れ,ほまれ,名詞,1
44,卓説,たくせつ,名詞,1
45,巍然,ぎぜん,名詞,1
46,崇敬,すうけい,名詞,1
47,美徳,びとく,名詞,1
48,素早い,すばやい,形容詞,1
49,背負ってる,しょってる,動詞,1
50,人材,じんざい,名詞,1
51,果報者,かほうもの,名詞,1
52,多祥,たしょう,名詞,1
53,勇ましい,いさましい,形容詞,1
54,秀逸,しゅういつ,名詞,1
55,まぐれ幸い,まぐれざいわい,名詞,1
56,賞揚,しょうよう,名詞,1
57,称賛,しょうさん,名詞,1
58,称美,しょうび,名詞,1
59,激賞,げきしょう,名詞,1
60,熱讚,ねっさん,名詞,1
61,一品,いっぴん,名詞,1
62,怜,れい,名詞,1
63,愉悦,ゆえつ,名詞,1
64,奮い立つ,ふるいたつ,動詞,1
65,速攻,そっこう,名詞,1
66,百錬,ひゃくれん,名詞,1
67,淵,えん,名詞,1
68,好個,こうこ,名詞,1
69,似つかわしい,につかわしい,形容詞,1
70,喜悦,きえつ,名詞,1
71,欣然,きんぜん,副詞,1
72,欣欣然,きんきんぜん,名詞,1
73,欣欣,きんきん,名詞,1
74,恐悦,きょうえつ,名詞,1
75,過褒,かほう,名詞,1
76,美挙,びきょ,名詞,1
77,逸興,いっきょう,名詞,1
78,佑助,ゆうじょ,名詞,1
79,善行,ぜんこう,名詞,1
80,良相,りょうしょう,名詞,1
81,卓越,たくえつ,名詞,1
82,超邁,ちょうまい,名詞,1
